year,state,prod_per_acre
1989,arizona,5.784313725490197
1989,california,15.288406624785837
1989,florida,12.410513141426783
1989,texas,3.923076923076923
1990,california,5.38677130044843
1990,florida,16.208125445473986
1990,texas,0
1990,arizona,6.565656565656566
1991,arizona,8.581730769230768
1991,california,13.902640264026402
1991,florida,14.156165616561657
1991,texas,0
1992,california,13.61413043478261
1992,florida,17.164758789860997
1992,texas,4.903846153846154
1992,arizona,6.544811320754717
1993,arizona,6.721698113207547
1993,california,12.891891891891891
1993,florida,15.364134690681285
1993,texas,4.2889908256880735
1994,california,10.99476439790576
1994,florida,16.431236673773988
1994,texas,6.432926829268292
1994,arizona,3.786057692307692
1995,arizona,6.126237623762377
1995,california,11.096938775510203
1995,florida,15.380800268997984
1995,texas,5.056962025316456
1996,california,12
1996,florida,16.28900624099856
1996,texas,6.936781609195403
1996,arizona,5.25
1997,arizona,4.120879120879121
1997,california,12.79673590504451
1997,florida,18.023637557452396
1997,texas,6.822368421052632
1998,california,6.6339066339066335
1998,florida,13.66307541625857
1998,texas,6.534946236559139
1998,arizona,6.25
1999,arizona,6.653225806451613
1999,california,12.06030150753769
1999,florida,17.41405082212257
1999,texas,7.586021505376343
2000,california,10.321969696969697
2000,florida,16.60909090909091
2000,texas,10.213709677419354
2000,arizona,5.2734375
2001,arizona,3.453125
2001,california,9.903846153846153
2001,florida,17.635031521553927
2001,texas,7.951612903225806
2002,california,11.742424242424242
2002,florida,15.546289993192648
2002,texas,7.582386363636362
2002,arizona,3.147321428571429
2003,arizona,3.596938775510204
2003,california,9.812176165803109
2003,florida,19.28116147308782
2003,texas,7.968749999999999
2004,california,12.663612565445026
2004,florida,12.44186046511628
2004,texas,8.548295454545453
2004,arizona,3.839285714285714
2005,arizona,5.113636363636364
2005,california,12.039473684210526
2005,florida,13.536659877800407
2005,texas,7.727272727272727
2006,california,9.078947368421053
2006,florida,12.197940743853751
2006,texas,9.5625
2006,arizona,4.326923076923077
2007,arizona,5.9375
2007,california,12.367021276595745
2007,florida,16.510023712006898
2007,texas,8.98
2008,california,9.375
2008,florida,15.927902417773904
2008,texas,7.295
2008,arizona,3.90625
2009,arizona,NULL
2009,california,11.782786885245901
2009,florida,13.340354767184035
2009,texas,8.6859375
2010,california,13.88888888888889
2010,florida,14.369318181818182
2010,texas,10.3540625
2010,arizona,NULL
2011,arizona,NULL
2011,california,13.107344632768362
2011,florida,15.231887401938165
2011,texas,7.5384375
2012,california,12.748538011695906
2012,florida,14.007455731593662
2012,texas,10.886071428571428
2012,arizona,NULL
2013,arizona,NULL
2013,california,11.927710843373495
2013,florida,11.252686887986625
2013,texas,10.636971830985916
2014,california,11.828220858895705
2014,florida,10.758939580764489
2014,texas,8.339189189189188
2014,arizona,NULL
2015,arizona,NULL
2015,california,14.904458598726114
2015,florida,9.5
2015,texas,9.711824324324326
2016,california,12.980645161290322
2016,florida,8.418367346938776
2016,texas,7.868243243243243
2016,arizona,NULL
